Y,Scaled,nits
64,0,0
65,0.001141553,5.26E-05
66,0.002283105,0.000170826
67,0.003424658,0.000342874
68,0.00456621,0.000565731
69,0.005707763,0.000838362
70,0.006849315,0.001160571
71,0.007990868,0.001532612
72,0.00913242,0.001955009
73,0.010273973,0.002428469
74,0.011415525,0.002953825
75,0.012557078,0.003532005
76,0.01369863,0.004164012
77,0.014840183,0.004850908
78,0.015981735,0.005593806
79,0.017123288,0.006393861
80,0.01826484,0.007252264
81,0.019406393,0.00817024
82,0.020547945,0.009149047
83,0.021689498,0.010189967
84,0.02283105,0.011294311
85,0.023972603,0.012463414
86,0.025114155,0.013698634
87,0.026255708,0.015001355
88,0.02739726,0.016372979
89,0.028538813,0.017814934
90,0.029680365,0.019328667
91,0.030821918,0.020915647
92,0.03196347,0.022577364
93,0.033105023,0.024315329
94,0.034246575,0.026131072
95,0.035388128,0.028026146
96,0.03652968,0.030002124
97,0.037671233,0.032060599
98,0.038812785,0.034203185
99,0.039954338,0.036431517
100,0.04109589,0.038747251
101,0.042237443,0.041152064
102,0.043378995,0.043647652
103,0.044520548,0.046235736
104,0.0456621,0.048918056
105,0.046803653,0.051696373
106,0.047945205,0.054572472
107,0.049086758,0.057548157
108,0.050228311,0.060625257
109,0.051369863,0.063805621
110,0.052511416,0.067091122
111,0.053652968,0.070483654
112,0.054794521,0.073985135
113,0.055936073,0.077597507
114,0.057077626,0.081322732
115,0.058219178,0.0851628
116,0.059360731,0.089119721
117,0.060502283,0.09319553
118,0.061643836,0.097392288
119,0.062785388,0.101712078
120,0.063926941,0.106157009
121,0.065068493,0.110729214
122,0.066210046,0.115430853
123,0.067351598,0.12026411
124,0.068493151,0.125231195
125,0.069634703,0.130334344
126,0.070776256,0.135575819
127,0.071917808,0.140957908
128,0.073059361,0.146482928
129,0.074200913,0.15215322
130,0.075342466,0.157971155
131,0.076484018,0.16393913
132,0.077625571,0.17005957
133,0.078767123,0.176334929
134,0.079908676,0.182767689
135,0.081050228,0.18936036
136,0.082191781,0.196115482
137,0.083333333,0.203035624
138,0.084474886,0.210123385
139,0.085616438,0.217381394
140,0.086757991,0.224812309
141,0.087899543,0.23241882
142,0.089041096,0.240203647
143,0.090182648,0.248169542
144,0.091324201,0.256319288
145,0.092465753,0.264655699
146,0.093607306,0.273181624
147,0.094748858,0.281899941
148,0.095890411,0.290813563
149,0.097031963,0.299925436
150,0.098173516,0.309238538
151,0.099315068,0.318755882
152,0.100456621,0.328480516
153,0.101598174,0.338415522
154,0.102739726,0.348564016
155,0.103881279,0.358929149
156,0.105022831,0.36951411
157,0.106164384,0.380322121
158,0.107305936,0.391356443
159,0.108447489,0.402620372
160,0.109589041,0.414117242
161,0.110730594,0.425850423
162,0.111872146,0.437823325
163,0.113013699,0.450039395
164,0.114155251,0.462502119
165,0.115296804,0.475215022
166,0.116438356,0.488181668
167,0.117579909,0.50140566
168,0.118721461,0.514890644
169,0.119863014,0.528640304
170,0.121004566,0.542658367
171,0.122146119,0.556948599
172,0.123287671,0.571514811
173,0.124429224,0.586360853
174,0.125570776,0.601490621
175,0.126712329,0.616908051
176,0.127853881,0.632617126
177,0.128995434,0.64862187
178,0.130136986,0.664926353
179,0.131278539,0.68153469
180,0.132420091,0.698451041
181,0.133561644,0.715679612
182,0.134703196,0.733224655
183,0.135844749,0.75109047
184,0.136986301,0.769281402
185,0.138127854,0.787801846
186,0.139269406,0.806656245
187,0.140410959,0.825849088
188,0.141552511,0.845384917
189,0.142694064,0.865268322
190,0.143835616,0.885503942
191,0.144977169,0.906096469
192,0.146118721,0.927050645
193,0.147260274,0.948371263
194,0.148401826,0.97006317
195,0.149543379,0.992131264
196,0.150684932,1.014580498
197,0.151826484,1.037415877
198,0.152968037,1.060642463
199,0.154109589,1.08426537
200,0.155251142,1.10828977
201,0.156392694,1.132720889
202,0.157534247,1.15756401
203,0.158675799,1.182824476
204,0.159817352,1.208507683
205,0.160958904,1.234619088
206,0.162100457,1.261164209
207,0.163242009,1.288148618
208,0.164383562,1.315577953
209,0.165525114,1.343457908
210,0.166666667,1.371794242
211,0.167808219,1.400592774
212,0.168949772,1.429859384
213,0.170091324,1.459600019
214,0.171232877,1.489820687
215,0.172374429,1.520527461
216,0.173515982,1.55172648
217,0.174657534,1.583423948
218,0.175799087,1.615626135
219,0.176940639,1.648339379
220,0.178082192,1.681570085
221,0.179223744,1.715324727
222,0.180365297,1.749609847
223,0.181506849,1.784432059
224,0.182648402,1.819798044
225,0.183789954,1.855714559
226,0.184931507,1.892188428
227,0.186073059,1.92922655
228,0.187214612,1.966835898
229,0.188356164,2.005023518
230,0.189497717,2.043796531
231,0.190639269,2.083162133
232,0.191780822,2.123127598
233,0.192922374,2.163700275
234,0.194063927,2.204887592
235,0.195205479,2.246697056
236,0.196347032,2.289136252
237,0.197488584,2.332212847
238,0.198630137,2.375934587
239,0.199771689,2.420309302
240,0.200913242,2.465344903
241,0.202054795,2.511049385
242,0.203196347,2.557430827
243,0.2043379,2.604497394
244,0.205479452,2.652257335
245,0.206621005,2.700718988
246,0.207762557,2.749890778
247,0.20890411,2.799781218
248,0.210045662,2.850398911
249,0.211187215,2.90175255
250,0.212328767,2.953850919
251,0.21347032,3.006702895
252,0.214611872,3.060317448
253,0.215753425,3.114703641
254,0.216894977,3.169870631
255,0.21803653,3.225827675
256,0.219178082,3.282584123
257,0.220319635,3.340149423
258,0.221461187,3.398533124
259,0.22260274,3.457744872
260,0.223744292,3.517794416
261,0.224885845,3.578691607
262,0.226027397,3.640446395
263,0.22716895,3.703068839
264,0.228310502,3.766569098
265,0.229452055,3.83095744
266,0.230593607,3.896244238
267,0.23173516,3.962439975
268,0.232876712,4.029555241
269,0.234018265,4.097600738
270,0.235159817,4.166587277
271,0.23630137,4.236525782
272,0.237442922,4.307427292
273,0.238584475,4.37930296
274,0.239726027,4.452164052
275,0.24086758,4.526021954
276,0.242009132,4.600888169
277,0.243150685,4.67677432
278,0.244292237,4.753692147
279,0.24543379,4.831653516
280,0.246575342,4.910670414
281,0.247716895,4.99075495
282,0.248858447,5.071919361
283,0.25,5.15417601
284,0.251141553,5.237537386
285,0.252283105,5.322016108
286,0.253424658,5.407624926
287,0.25456621,5.494376721
288,0.255707763,5.582284506
289,0.256849315,5.67136143
290,0.257990868,5.761620775
291,0.25913242,5.853075963
292,0.260273973,5.945740551
293,0.261415525,6.039628238
294,0.262557078,6.134752863
295,0.26369863,6.231128407
296,0.264840183,6.328768996
297,0.265981735,6.4276889
298,0.267123288,6.527902536
299,0.26826484,6.62942447
300,0.269406393,6.732269417
301,0.270547945,6.836452242
302,0.271689498,6.941987964
303,0.27283105,7.048891756
304,0.273972603,7.157178946
305,0.275114155,7.266865019
306,0.276255708,7.37796562
307,0.27739726,7.490496554
308,0.278538813,7.604473785
309,0.279680365,7.719913446
310,0.280821918,7.83683183
311,0.28196347,7.9552454
312,0.283105023,8.075170785
313,0.284246575,8.196624787
314,0.285388128,8.319624378
315,0.28652968,8.444186703
316,0.287671233,8.570329083
317,0.288812785,8.698069017
318,0.289954338,8.827424181
319,0.29109589,8.958412432
320,0.292237443,9.091051811
321,0.293378995,9.22536054
322,0.294520548,9.36135703
323,0.2956621,9.499059877
324,0.296803653,9.63848787
325,0.297945205,9.779659986
326,0.299086758,9.922595399
327,0.300228311,10.06731348
328,0.301369863,10.21383378
329,0.302511416,10.36217608
330,0.303652968,10.51236033
331,0.304794521,10.66440672
332,0.305936073,10.8183356
333,0.307077626,10.97416757
334,0.308219178,11.13192341
335,0.309360731,11.29162413
336,0.310502283,11.45329094
337,0.311643836,11.61694527
338,0.312785388,11.78260878
339,0.313926941,11.95030334
340,0.315068493,12.12005102
341,0.316210046,12.29187416
342,0.317351598,12.4657953
343,0.318493151,12.6418372
344,0.319634703,12.82002287
345,0.320776256,13.00037556
346,0.321917808,13.18291872
347,0.323059361,13.36767607
348,0.324200913,13.55467157
349,0.325342466,13.7439294
350,0.326484018,13.93547401
351,0.327625571,14.12933009
352,0.328767123,14.32552257
353,0.329908676,14.52407665
354,0.331050228,14.72501777
355,0.332191781,14.92837164
356,0.333333333,15.13416421
357,0.334474886,15.34242173
358,0.335616438,15.55317067
359,0.336757991,15.76643781
360,0.337899543,15.98225018
361,0.339041096,16.20063509
362,0.340182648,16.42162011
363,0.341324201,16.64523311
364,0.342465753,16.87150224
365,0.343607306,17.10045592
366,0.344748858,17.33212287
367,0.345890411,17.5665321
368,0.347031963,17.80371291
369,0.348173516,18.0436949
370,0.349315068,18.28650797
371,0.350456621,18.53218231
372,0.351598174,18.78074842
373,0.352739726,19.03223713
374,0.353881279,19.28667956
375,0.355022831,19.54410714
376,0.356164384,19.80455164
377,0.357305936,20.06804513
378,0.358447489,20.33462001
379,0.359589041,20.60430901
380,0.360730594,20.8771452
381,0.361872146,21.15316197
382,0.363013699,21.43239305
383,0.364155251,21.71487252
384,0.365296804,22.00063478
385,0.366438356,22.28971461
386,0.367579909,22.58214712
387,0.368721461,22.87796778
388,0.369863014,23.17721242
389,0.371004566,23.47991724
390,0.372146119,23.78611877
391,0.373287671,24.09585396
392,0.374429224,24.40916009
393,0.375570776,24.72607485
394,0.376712329,25.04663628
395,0.377853881,25.37088283
396,0.378995434,25.69885332
397,0.380136986,26.03058697
398,0.381278539,26.36612339
399,0.382420091,26.7055026
400,0.383561644,27.04876502
401,0.384703196,27.39595147
402,0.385844749,27.74710319
403,0.386986301,28.10226183
404,0.388127854,28.46146947
405,0.389269406,28.8247686
406,0.390410959,29.19220216
407,0.391552511,29.56381351
408,0.392694064,29.93964643
409,0.393835616,30.31974518
410,0.394977169,30.70415444
411,0.396118721,31.09291935
412,0.397260274,31.48608549
413,0.398401826,31.88369893
414,0.399543379,32.28580618
415,0.400684932,32.69245422
416,0.401826484,33.10369052
417,0.402968037,33.51956302
418,0.404109589,33.94012013
419,0.405251142,34.36541078
420,0.406392694,34.79548436
421,0.407534247,35.23039079
422,0.408675799,35.67018046
423,0.409817352,36.11490429
424,0.410958904,36.56461372
425,0.412100457,37.01936069
426,0.413242009,37.47919767
427,0.414383562,37.94417767
428,0.415525114,38.41435422
429,0.416666667,38.8897814
430,0.417808219,39.37051384
431,0.418949772,39.8566067
432,0.420091324,40.34811572
433,0.421232877,40.84509719
434,0.422374429,41.34760797
435,0.423515982,41.8557055
436,0.424657534,42.36944779
437,0.425799087,42.88889345
438,0.426940639,43.41410167
439,0.428082192,43.94513223
440,0.429223744,44.48204553
441,0.430365297,45.02490257
442,0.431506849,45.57376498
443,0.432648402,46.12869499
444,0.433789954,46.68975547
445,0.434931507,47.25700993
446,0.436073059,47.83052251
447,0.437214612,48.41035802
448,0.438356164,48.99658189
449,0.439497717,49.58926023
450,0.440639269,50.18845983
451,0.441780822,50.79424813
452,0.442922374,51.40669328
453,0.444063927,52.02586408
454,0.445205479,52.65183006
455,0.446347032,53.28466144
456,0.447488584,53.92442915
457,0.448630137,54.57120483
458,0.449771689,55.22506086
459,0.450913242,55.88607034
460,0.452054795,56.5543071
461,0.453196347,57.22984575
462,0.4543379,57.91276161
463,0.455479452,58.6031308
464,0.456621005,59.30103018
465,0.457762557,60.00653742
466,0.45890411,60.71973095
467,0.460045662,61.44069
468,0.461187215,62.1694946
469,0.462328767,62.90622559
470,0.46347032,63.65096464
471,0.464611872,64.40379424
472,0.465753425,65.1647977
473,0.466894977,65.9340592
474,0.46803653,66.71166374
475,0.469178082,67.49769722
476,0.470319635,68.29224638
477,0.471461187,69.09539885
478,0.47260274,69.90724315
479,0.473744292,70.72786868
480,0.474885845,71.55736577
481,0.476027397,72.39582565
482,0.47716895,73.24334048
483,0.478310502,74.10000335
484,0.479452055,74.96590831
485,0.480593607,75.84115034
486,0.48173516,76.72582539
487,0.482876712,77.6200304
488,0.484018265,78.52386328
489,0.485159817,79.43742293
490,0.48630137,80.36080925
491,0.487442922,81.29412318
492,0.488584475,82.23746666
493,0.489726027,83.19094267
494,0.49086758,84.15465524
495,0.492009132,85.12870945
496,0.493150685,86.11321145
497,0.494292237,87.10826848
498,0.49543379,88.11398886
499,0.496575342,89.130482
500,0.497716895,90.15785845
501,0.498858447,91.19622984
502,0.5,92.24570899
503,0.501141553,93.30640983
504,0.502283105,94.37844746
505,0.503424658,95.46193814
506,0.50456621,96.55699933
507,0.505707763,97.66374968
508,0.506849315,98.78230904
509,0.507990868,99.91279849
510,0.50913242,101.0553403
511,0.510273973,102.2100581
512,0.511415525,103.3770767
513,0.512557078,104.5565221
514,0.51369863,105.7485218
515,0.514840183,106.9532043
516,0.515981735,108.1706997
517,0.517123288,109.4011393
518,0.51826484,110.6446557
519,0.519406393,111.901383
520,0.520547945,113.1714564
521,0.521689498,114.4550127
522,0.52283105,115.7521902
523,0.523972603,117.0631282
524,0.525114155,118.3879679
525,0.526255708,119.7268516
526,0.52739726,121.0799232
527,0.528538813,122.4473281
528,0.529680365,123.829213
529,0.530821918,125.2257264
530,0.53196347,126.637018
531,0.533105023,128.0632392
532,0.534246575,129.504543
533,0.535388128,130.9610839
534,0.53652968,132.4330179
535,0.537671233,133.9205027
536,0.538812785,135.4236977
537,0.539954338,136.9427636
538,0.54109589,138.4778631
539,0.542237443,140.0291605
540,0.543378995,141.5968215
541,0.544520548,143.181014
542,0.5456621,144.7819071
543,0.546803653,146.399672
544,0.547945205,148.0344815
545,0.549086758,149.6865102
546,0.550228311,151.3559345
547,0.551369863,153.0429326
548,0.552511416,154.7476845
549,0.553652968,156.4703722
550,0.554794521,158.2111793
551,0.555936073,159.9702916
552,0.557077626,161.7478966
553,0.558219178,163.5441837
554,0.559360731,165.3593444
555,0.560502283,167.1935721
556,0.561643836,169.0470622
557,0.562785388,170.9200121
558,0.563926941,172.8126212
559,0.565068493,174.725091
560,0.566210046,176.6576251
561,0.567351598,178.6104292
562,0.568493151,180.583711
563,0.569634703,182.5776804
564,0.570776256,184.5925496
565,0.571917808,186.6285328
566,0.573059361,188.6858465
567,0.574200913,190.7647095
568,0.575342466,192.8653427
569,0.576484018,194.9879694
570,0.577625571,197.1328152
571,0.578767123,199.3001079
572,0.579908676,201.490078
573,0.581050228,203.7029579
574,0.582191781,205.9389827
575,0.583333333,208.19839
576,0.584474886,210.4814197
577,0.585616438,212.7883141
578,0.586757991,215.1193183
579,0.587899543,217.4746797
580,0.589041096,219.8546483
581,0.590182648,222.2594768
582,0.591324201,224.6894205
583,0.592465753,227.1447372
584,0.593607306,229.6256875
585,0.594748858,232.1325347
586,0.595890411,234.6655448
587,0.597031963,237.2249865
588,0.598173516,239.8111316
589,0.599315068,242.4242542
590,0.600456621,245.0646318
591,0.601598174,247.7325444
592,0.602739726,250.4282751
593,0.603881279,253.1521098
594,0.605022831,255.9043375
595,0.606164384,258.6852502
596,0.607305936,261.495143
597,0.608447489,264.3343138
598,0.609589041,267.203064
599,0.610730594,270.1016978
600,0.611872146,273.0305228
601,0.613013699,275.9898496
602,0.614155251,278.9799923
603,0.615296804,282.0012681
604,0.616438356,285.0539976
605,0.617579909,288.1385046
606,0.618721461,291.2551165
607,0.619863014,294.404164
608,0.621004566,297.5859812
609,0.622146119,300.8009059
610,0.623287671,304.0492792
611,0.624429224,307.331446
612,0.625570776,310.6477545
613,0.626712329,313.998557
614,0.627853881,317.384209
615,0.628995434,320.8050701
616,0.630136986,324.2615035
617,0.631278539,327.7538762
618,0.632420091,331.2825592
619,0.633561644,334.8479273
620,0.634703196,338.4503591
621,0.635844749,342.0902374
622,0.636986301,345.767949
623,0.638127854,349.4838847
624,0.639269406,353.2384393
625,0.640410959,357.0320119
626,0.641552511,360.8650059
627,0.642694064,364.7378287
628,0.643835616,368.6508922
